Nome,Qtd_pag,Valor,Editora_Nome,Autor_Nome
"Alice no Pais das Maravilhas",200,29.99,"Wonderland Publishing","Lewis Carroll"
"Dom Quixote",400,39.99,"Mancha Press","Miguel de Cervantes"
"O Grande Gatsby",250,24.99,"Jazz Age Books","F. Scott Fitzgerald"
"1984",320,27.99,"Dystopian Publishing","George Orwell"
"Orgulho e Preconceito",300,22.99,"Regency Classics","Jane Austen"
"O Apanhador no Campo de Centeio",280,26.99,"Holden House","J.D. Salinger"
"Crime e Castigo",450,34.99,"St. Petersburg Press","Fyodor Dostoevsky"
"O Senhor dos Aneis",800,49.99,"Middle-earth Publishers","J.R.R. Tolkien"
"O Pequeno Principe",150,19.99,"Planet B-612","Antoine de Saint-Exupery"
"Ulisses",600,44.99,"Dublin Press","James Joyce"
